id,dossier,video
302,Meta,5598
434,DIGITAL-selected,5598
440,Nouveau code - Wifi N°1,5598
180,TF1,5599
434,DIGITAL-selected,5599
440,Nouveau code - Wifi N°1,5599
315,Samsung,5600
434,DIGITAL-selected,5600
440,Nouveau code - Wifi N°1,5600
177,Youtube,5601
434,DIGITAL-selected,5601
440,Nouveau code - Wifi N°1,5601
180,TF1,5602
434,DIGITAL-selected,5602
440,Nouveau code - Wifi N°1,5602
180,TF1,5603
434,DIGITAL-selected,5603
440,Nouveau code - Wifi N°1,5603
315,Samsung,5604
434,DIGITAL-selected,5604
440,Nouveau code - Wifi N°1,5604
180,TF1,5606
434,DIGITAL-selected,5606
440,Nouveau code - Wifi N°1,5606
177,Youtube,5607
434,DIGITAL-selected,5607
440,Nouveau code - Wifi N°1,5607
434,DIGITAL-selected,5608
435,MEDIASQUARE,5608
440,Nouveau code - Wifi N°1,5608
434,DIGITAL-selected,5609
435,MEDIASQUARE,5609
440,Nouveau code - Wifi N°1,5609
179,Twitch,5610
434,DIGITAL-selected,5610
440,Nouveau code - Wifi N°1,5610
177,Youtube,5614
436,Digital selected,5614
437,Skippable,5614
440,Nouveau code - Wifi N°1,5614
177,Youtube,5615
434,DIGITAL-selected,5615
437,Skippable,5615
440,Nouveau code - Wifi N°1,5615
