"id","name","duration","size","video_quality"
5598,"FACEBOOK_BOUYGUES_ULTYM_15s_VF_16-9_WEB",15,28501260,"1920x1080"
5599,"TF1_BOUYGUES_ULTYM_30s_VF_16-9_WEB",30,673030420,"1920x1080"
5600,"SAMSUNG_BOUYGUES_ULTYM_30s_VF_16-9_WEB",30,57221234,"1920x1080"
5601,"YOUTUBE_BOUYGUES_ULTYM_15s_VF_16-9_WEB",15,321030996,"1920x1080"
5602,"TF1_BOUYGUES_ULTYM_15s_VF_16-9_WEB",15,321030996,"1920x1080"
5603,"TF1_BOUYGUES_ULTYM_30s_VF_16-9_WEB_NO_MS",30,656772468,"1920x1080"
5604,"SAMSUNG_BOUYGUES_ULTYM_15s_VF_16-9_WEB",15,28501260,"1920x1080"
5606,"TF1_BOUYGUES_ULTYM_15s_VF_16-9_WEB_NO_MS",15,308018244,"1920x1080"
5607,"YOUTUBE_BOUYGUES_ULTYM_30s_VF_16-9_WEB",30,673030420,"1920x1080"
5608,"MEDIASQUARE_BOUYGUES_ULTYM_15s_VF_16-9_WEB",15,321030996,"1920x1080"
5609,"MEDIASQUARE_BOUYGUES_ULTYM_30s_VF_16-9_WEB",30,673030420,"1920x1080"
5610,"TWITCH_BOUYGUES_ULTYM_15s_VF_16-9_WEB",15,28501260,"1920x1080"
5614,"YOUTUBE_BOUYGUES_ULTYM_15s_VA_16-9_WEB_YOUTUBE",15,308351748,"1920x1080"
5615,"YOUTUBE_BOUYGUES_ULTYM_30s_VA_16-9_WEB_YOUTUBE",30,660428036,"1920x1080"
